id,description
-2,No aplicable (según apartado)
-1,No consta
1,Variable completada
-6,El número de horas varía (incluso no es posible calcular una media para 4 semanas) [PL060_F]
-5,No aplicable (no convivía con el progenitor)
-4,No aplicable
-2,No aplicable (según apartado)
-1,No consta
1,Variable completada
-2,No disponible
-1,No consta
1,Variable completada
-2,No aplicable (según apartado)
-1,No consta
1,Variable completada
